City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
192,Vanavara,RU,60.34,102.2797,1.8,95,99,7.85,2023-01-02 21:24:39,overcast clouds
193,Namibe,AO,-15.1961,12.1522,74.64,88,100,3.11,2023-01-02 21:24:39,overcast clouds
194,Kurtalan,TR,37.9272,41.7028,41.2,34,0,1.74,2023-01-02 21:24:40,clear sky
195,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,18.41,2023-01-02 21:24:40,scattered clouds
196,Luanda,AO,-8.8368,13.2343,77.63,81,100,5.99,2023-01-02 21:24:41,overcast clouds
197,Aksu,CN,41.1231,80.2644,18.9,48,35,3.36,2023-01-02 21:24:41,scattered clouds
198,Corn Island,NI,12.1694,-83.0418,80.33,74,52,17.76,2023-01-02 21:24:42,broken clouds
199,Kedrovyy,RU,56.1667,91.8167,-0.13,96,73,4.27,2023-01-02 21:24:42,broken clouds
200,Sioux Lookout,CA,50.1001,-91.917,17.67,93,100,6.91,2023-01-02 21:24:43,mist
201,Taoudenni,ML,22.6783,-3.9836,67.53,13,0,11.34,2023-01-02 21:24:43,clear sky
202,Mar Del Plata,AR,-38.0023,-57.5575,74.82,47,0,9.22,2023-01-02 21:24:43,clear sky
203,Port Blair,IN,11.6667,92.75,78.84,65,40,3.44,2023-01-02 21:24:44,haze
204,Kasempa,ZM,-13.4584,25.8338,61.93,97,100,2.57,2023-01-02 21:24:44,overcast clouds
205,Kismayo,SO,-0.3582,42.5454,78.87,81,0,14.67,2023-01-02 21:24:45,clear sky
206,Nichinan,JP,31.6,131.3667,40.68,69,0,6.93,2023-01-02 21:24:45,clear sky
207,Darnah,LY,32.767,22.6367,59.52,67,0,7.0,2023-01-02 21:24:23,clear sky
208,Lasa,IT,46.6166,10.7002,41.02,94,100,1.48,2023-01-02 21:24:46,overcast clouds
209,Quime,BO,-16.9833,-67.2167,57.72,77,100,5.55,2023-01-02 21:24:46,overcast clouds
210,Faya,SA,18.3851,42.4509,55.92,65,22,2.66,2023-01-02 21:24:47,few clouds
211,Motta Di Livenza,IT,45.7781,12.6028,51.39,88,100,1.21,2023-01-02 21:24:47,overcast clouds
212,Ada,US,43.4166,-116.1262,34.21,72,0,9.22,2023-01-02 21:24:47,clear sky
213,Cabo San Lucas,MX,22.8909,-109.9124,77.61,53,0,11.5,2023-01-02 21:24:44,clear sky
214,Kahului,US,20.8947,-156.47,79.97,73,40,14.97,2023-01-02 21:22:38,scattered clouds
215,Alofi,NU,-19.0595,-169.9187,82.29,83,100,6.91,2023-01-02 21:24:48,overcast clouds
216,Lorengau,PG,-2.0226,147.2712,82.27,78,100,9.06,2023-01-02 21:24:49,overcast clouds
217,Miles City,US,46.4083,-105.8406,29.37,74,0,5.75,2023-01-02 21:24:49,clear sky
218,Hovd,MN,48.0056,91.6419,-4.09,76,13,4.43,2023-01-02 21:24:49,few clouds
219,Gondal,IN,21.9667,70.8,58.98,30,55,8.3,2023-01-02 21:24:50,broken clouds
220,Tariba,VE,7.8188,-72.2243,73.96,73,88,0.11,2023-01-02 21:24:50,overcast clouds
221,Gazanjyk,TM,39.2446,55.5154,44.87,46,8,10.76,2023-01-02 21:24:51,clear sky
222,Sinnamary,GF,5.3833,-52.95,78.22,83,99,8.16,2023-01-02 21:24:51,overcast clouds
223,Manicore,BR,-5.8092,-61.3003,75.65,94,99,2.64,2023-01-02 21:24:52,light rain
224,Ketchikan,US,55.3422,-131.6461,37.87,93,100,3.44,2023-01-02 21:22:13,moderate rain
225,Hualmay,PE,-11.0964,-77.6139,73.42,77,99,10.38,2023-01-02 21:24:52,overcast clouds
226,Amahai,ID,-3.3333,128.9167,77.49,81,100,5.28,2023-01-02 21:24:53,overcast clouds
227,Honningsvag,NO,70.9821,25.9704,33.55,75,75,13.8,2023-01-02 21:24:53,broken clouds
228,Mao,ES,39.8885,4.2658,54.16,100,100,0.0,2023-01-02 21:24:54,mist
229,Urumqi,CN,43.801,87.6005,4.15,92,75,2.24,2023-01-02 21:20:01,mist
230,East London,ZA,-33.0153,27.9116,71.62,84,100,16.08,2023-01-02 21:24:54,overcast clouds
231,Coos Bay,US,43.3665,-124.2179,50.99,88,100,13.8,2023-01-02 21:24:55,overcast clouds
232,Quatre Cocos,MU,-20.2078,57.7625,76.08,71,27,5.97,2023-01-02 21:24:55,scattered clouds
233,Mancio Lima,BR,-7.6142,-72.8958,87.87,58,40,9.22,2023-01-02 21:24:55,scattered clouds
234,Akyab,MM,20.15,92.9,63.59,56,3,7.81,2023-01-02 21:24:56,clear sky
235,Eenhana,NA,-17.4667,16.3333,72.23,68,82,3.18,2023-01-02 21:24:56,light rain
236,Bethel,US,41.3712,-73.414,51.67,70,85,1.99,2023-01-02 21:24:57,overcast clouds
237,Riverton,US,40.5219,-111.9391,32.77,90,100,6.91,2023-01-02 21:20:31,light snow
238,Grand Gaube,MU,-20.0064,57.6608,76.37,74,23,8.97,2023-01-02 21:24:57,few clouds
239,Lakeland,US,28.0395,-81.9498,82.58,58,40,9.22,2023-01-02 21:24:58,scattered clouds
240,Etawah,IN,26.7769,79.0239,48.36,54,4,4.65,2023-01-02 21:24:58,clear sky
241,Zalantun,CN,48.0,122.7167,-3.95,83,1,8.1,2023-01-02 21:24:58,clear sky
242,Mount Isa,AU,-20.7333,139.5,76.77,100,100,3.44,2023-01-02 21:24:59,overcast clouds
243,Clearwater,US,27.9659,-82.8001,83.1,70,0,7.0,2023-01-02 21:24:59,clear sky
244,Hilo,US,19.7297,-155.09,80.33,71,75,8.01,2023-01-02 21:25:00,broken clouds
245,Hingorja,PK,27.2109,68.416,58.41,28,87,7.25,2023-01-02 21:25:00,overcast clouds
246,Winnemucca,US,40.973,-117.7357,33.85,60,100,17.27,2023-01-02 21:24:53,overcast clouds
247,Tingo Maria,PE,-9.2895,-76.0088,81.86,69,100,3.6,2023-01-02 21:25:01,overcast clouds
248,Gari,RU,59.4307,62.3497,13.19,97,100,2.28,2023-01-02 21:25:01,overcast clouds
249,Kuloy,RU,61.0305,42.4925,21.87,90,100,11.1,2023-01-02 21:25:01,overcast clouds
250,Araxa,BR,-19.5933,-46.9406,70.3,89,72,3.8,2023-01-02 21:22:54,light rain
251,Charters Towers,AU,-20.1,146.2667,73.76,78,28,8.41,2023-01-02 21:25:02,scattered clouds
252,Buraydah,SA,26.326,43.975,55.85,73,100,5.97,2023-01-02 21:25:02,heavy intensity rain
253,Brenham,US,30.1669,-96.3977,78.71,79,100,18.41,2023-01-02 21:24:12,overcast clouds
254,Palakkad,IN,10.7833,76.65,69.46,73,4,6.67,2023-01-02 21:25:03,clear sky
255,Kusa,RU,55.3383,59.4406,22.6,95,100,8.19,2023-01-02 21:25:03,snow
256,Iracoubo,GF,5.4802,-53.2011,77.97,83,100,8.28,2023-01-02 21:25:04,overcast clouds
257,Zlynka,RU,52.4267,31.7378,45.59,92,100,11.72,2023-01-02 21:25:04,overcast clouds
258,Kano,NG,12.0001,8.5167,58.89,55,100,4.61,2023-01-02 21:25:05,haze
259,Mattru,SL,7.6244,-11.8332,74.98,83,0,3.98,2023-01-02 21:25:05,clear sky
